country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",11-07-2026 14:00,25.366336,87.117468,OZONE,21,60,31
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",11-07-2026 14:00,25.0328,85.41948,PM10,17,500,93
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",11-07-2026 14:00,25.0328,85.41948,NO2,12,15,14
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",11-07-2026 14:00,25.892357,86.590325,PM10,NA,NA,NA
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",11-07-2026 14:00,25.892357,86.590325,SO2,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",11-07-2026 14:00,25.859655,85.77944,CO,1,10,4
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",11-07-2026 14:00,24.952822,84.002396,PM10,NA,NA,NA
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",11-07-2026 14:00,25.592539,85.227158,NO2,12,12,12
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",11-07-2026 14:00,25.592539,85.227158,NH3,6,6,6
India,Bihar,Patna,"Muradpur, Patna - BSPCB",11-07-2026 14:00,25.619651,85.147382,CO,46,55,50
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",11-07-2026 14:00,25.586562,85.043586,PM2.5,25,46,35
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",11-07-2026 14:00,25.586562,85.043586,PM10,21,127,64
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",11-07-2026 14:00,25.586562,85.043586,CO,27,37,29
India,Bihar,Patna,"Samanpura, Patna - BSPCB",11-07-2026 14:00,25.596727,85.085624,PM10,107,170,130
India,Delhi,Delhi,"Bawana, Delhi - DPCC",11-07-2026 14:00,28.7762,77.051074,OZONE,3,4,3
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-07-2026 14:00,28.56789,77.250515,NO2,20,50,32
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-07-2026 14:00,28.623763,77.287209,PM10,42,308,112
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-07-2026 14:00,28.623763,77.287209,NO2,9,55,30
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-07-2026 14:00,28.58028,77.233829,PM10,49,290,123
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-07-2026 14:00,28.58028,77.233829,NO2,4,53,14
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",11-07-2026 14:00,28.594169,77.1251,PM10,25,178,76
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",11-07-2026 14:00,28.594169,77.1251,NO2,8,47,20
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",11-07-2026 14:00,28.594169,77.1251,NH3,0,7,3
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",11-07-2026 14:00,28.611281,77.237738,NH3,6,14,8
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",11-07-2026 14:00,28.611281,77.237738,OZONE,5,11,8
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",11-07-2026 14:00,28.710508,77.249485,NO2,1,12,6
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",11-07-2026 14:00,21.371751,81.664929,CO,17,17,17
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",11-07-2026 14:00,21.237755,81.705301,PM2.5,16,32,23
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",11-07-2026 14:00,22.06631475,83.33820077,NH3,1,2,1
India,Delhi,Delhi,"Pusa, Delhi - IITM",11-07-2026 14:00,28.63611,77.173332,PM2.5,14,156,50
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",11-07-2026 14:00,21.194815,81.31477,NH3,3,4,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",11-07-2026 14:00,21.224231,81.40835,PM2.5,25,79,48
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",11-07-2026 14:00,21.224231,81.40835,CO,14,21,17
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",11-07-2026 14:00,21.224231,81.40835,OZONE,9,22,15
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",11-07-2026 14:00,22.08815,82.13737,CO,16,28,22
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",11-07-2026 14:00,24.952822,84.002396,OZONE,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",11-07-2026 14:00,30.735567,76.775714,NO2,4,18,9
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",11-07-2026 14:00,30.735567,76.775714,OZONE,4,9,7
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",11-07-2026 14:00,21.185571,81.343175,PM10,20,40,29
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",11-07-2026 14:00,28.6811736,77.3025234,NO2,18,19,19
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-07-2026 14:00,28.531346,77.190156,PM10,55,298,96
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",11-07-2026 14:00,28.530785,77.271255,PM10,24,295,107
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",11-07-2026 14:00,28.530785,77.271255,NH3,4,16,7
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",11-07-2026 14:00,22.118125,83.140608,NH3,NA,NA,NA
